SKU,Product,Shipments with extra charge,Extra charged ($),By service,By type
PS1114NAOAK8105PK,Classic Gallery Picture Frame | Set of 5 | Galleria Collection | Includes Mat - 11X14 / Natural Oak,1,0.84,FedEx (service not itemized) $0.84,Billed above label cost $0.84
FF1114BK2PK,Signature Float Black Picture Frame - 11x14 / Black / 2 Pack,1,0.83,FedEx (service not itemized) $0.83,Billed above label cost $0.83
RINGDCBLK20,All-Star Ring Display Case - 20 Rings,2,0.83,FedEx (service not itemized) $0.83,Billed above label cost $0.83
LX1818WHT88,Streamline Matted Picture Frame - 18x18 with 8x8 Mat / White / 1 Pack,2,0.83,FedEx (service not itemized) $0.83,Billed above label cost $0.83
MP-ALU-FF-1114-PNICKEL,Americanflat Floating Aluminum & Plexiglass Frame - 11x14 - Silver,2,0.83,UPS Ground Saver $0.83,Carrier re-rate after label $0.83
MP-PVC-LX-0911-BLACK,"Americanflat 9x11 Picture Frame - Modern Design, Shatter-Resistant Glass, PVC Frame - Black",1,0.83,USPS Ground Advantage $0.83,Carrier re-rate after label $0.83
SIFF0810BLK,Americanflat 8x10 Floating Picture Frame with Shatter-Resistant Glass - Fits 6x8 Photos - Slide-In Photo Frame - Floating Frames - Black,3,0.83,FedEx (service not itemized) $0.83,Billed above label cost $0.83
WB1628BLK,Epic Poster Frame - 16x28 / Black,1,0.82,FedEx (service not itemized) $0.82,Billed above label cost $0.82
KAF8511WALNUT2PK,Americanflat Kids Art Frame | Holds 100 Photos | Modern - Premium Quality - Walnut / 2 pack,2,0.82,FedEx (service not itemized) $0.82,Billed above label cost $0.82
GSD2436WHT2030,Soho Matted Picture Frame - 24x36 / White / 20x30,1,0.81,FedEx (service not itemized) $0.81,Billed above label cost $0.81
MPBROUFXF5060RAB,"Faux Fur Throw Blanket - 50x60 Inch Luxury Rouched Design - Soft Plush Blanket for Couch, Sofa, and Bed - Premium Warm Cozy Home Decor - Rabbit",1,0.81,FedEx (service not itemized) $0.81,Billed above label cost $0.81
PS0909MAH662PK,"Set of 2 - Classic Gallery Picture Frame with Mat | Galleria Collection - 9"" x 9"" / Brown",1,0.81,FedEx (service not itemized) $0.81,Billed above label cost $0.81
OVF1620SLV1114,Heirloom Picture Frame - 16x20 / Silver / Ornate vintage frame,2,0.81,FedEx (service not itemized) $0.81,Billed above label cost $0.81
345732684133597252,"Americanflat Picture Frame - Rustic Picture Frame with Textured Engineered Wood, Shatter Resistant Glass and Easel Back - Horizontal and Vertical Display",1,0.8,UPS Ground Saver $0.80,Carrier re-rate after label $0.80
343126403058761794,Americanflat 2 Pack of Picture Frames with Mat - Plexiglass Cover,1,0.8,UPS Ground Saver $0.80,Carrier re-rate after label $0.80
473718712878628874,"Americanflat Hinged Picture Frame with Wide, Beveled Molding and Shatter-Resistant Glass - Modern Metal Picture Frame Displays Two Photos - Elegant Photo Frames for Tabletop Display",1,0.8,UPS Ground Saver $0.80,Carrier re-rate after label $0.80
A281P1706SHOW7174,Americanflat 71x74 Floral Shower Curtain - Water-Resistant Long Shower Curtain with Durable Metal Grommets and 12 Hooks - 100% Polyester - Botanical,2,0.78,FedEx (service not itemized) $0.78,Billed above label cost $0.78
329325489782685720,Americanflat Picture Frame with Wide Molding with Mat - Modern Wide Picture Frame - Plexiglass Cover - Hanging Hardware - Includes Easel,1,0.78,FedEx (service not itemized) $0.78,Billed above label cost $0.78
SBD0810BLK,Shadow Box Keepsake Frame with Door | Silhouette Collection - 8x10 / Black,2,0.78,FedEx (service not itemized) $0.78,Billed above label cost $0.78
MP-PVC-LX-0810-BLACK-10SET,"Americanflat Set of 10 Picture Frames - Gallery Wall Frame Set with Two 8x10, Four 5x7, and Four 4x6 Frames - Black",2,0.77,FedEx (service not itemized) $0.77,Billed above label cost $0.77
MPLXG1624BLK8103SET,Black | Gallery Wall Frames Set of 3 | Matching Size | Wide Mat – Americanflat - 16x24 matted to 8x10 / Black,2,0.77,FedEx (service not itemized) $0.77,Billed above label cost $0.77
SHOW7275GEO7GRYSL,"Americanflat 72x75 Hookless Shower Curtain - Water-Resistant Soft Waves Shower Curtain with Sheer Panel, Snap-In Liner, and Durable Grommets - 100%",3,0.77,FedEx (service not itemized) $0.77,Billed above label cost $0.77
OVF1114SLV810,Heirloom Picture Frame - 11x14 / Silver / Ornate vintage frame,3,0.76,FedEx (service not itemized) $0.76,Billed above label cost $0.76
MAG0507BLKACR,5x7 with 4x6 Mat | Magnetic Refrigerator Frame | Black | Modern,1,0.76,FedEx (service not itemized) $0.76,Billed above label cost $0.76
A281P228SHOW7174,"Americanflat 71 x 74 Shower Curtain, Winters Trail II by PI Creative Art",1,0.75,UPS Ground Saver $0.75,Carrier re-rate after label $0.75
343124438380904536,Americanflat Poster Frame - Perfect Frame for Photos and Artwork - Large Picture Frame - Polished Plexiglass - Hanging Hardware with Horizontal and Vertical Display,3,0.75,FedEx (service not itemized) $0.75,Billed above label cost $0.75
LX1616BLKNOMAT,Americanflat 16x16 Picture Frame with Polished Plexiglass - - Thin Border Square Frame for Wall Display - Hanging Hardware Included - Black,2,0.74,UPS Ground Saver $0.65; FedEx (service not itemized) $0.09,Carrier re-rate after label $0.65; Billed above label cost $0.09
WMW2434PNICKEL2030,Oversized Gallery Picture Frame with Mat | Hudson Collection - 24x34 / Silver / 20x30,1,0.73,FedEx (service not itemized) $0.73,Billed above label cost $0.73
MP-PES-SHOW-A281P417-7174-BLACK,Americanflat Abstract Shower Curtain Gulf by PI Creative Art,2,0.73,FedEx (service not itemized) $0.73,Billed above label cost $0.73
FFM1526BLK,Signature Float Black Matted Engineered Wood Picture Frame - 15x26 / Black,2,0.73,FedEx (service not itemized) $0.73,Billed above label cost $0.73
MP-PES-SHOW-A413P090-7275-SL,"Americanflat 72x75 Hookless Shower Curtain - Abstract Pink Green Orange Shower Curtain with Sheer Panel, Snap-In Liner, and Grommets - 100% Polyester",2,0.72,FedEx (service not itemized) $0.48; UPS Ground Saver $0.24,Billed above label cost $0.48; Carrier re-rate after label $0.24
WB1640BLK,Epic Poster Frame - 16x40 / Black,2,0.72,FedEx (service not itemized) $0.72,Billed above label cost $0.72
A413P077SHOW7275SL,"Americanflat 72x75 Hookless Shower Curtain - Water-Resistant Geometric Pastel Shower Curtain with Sheer Panel, Snap-In Liner, and Grommets - 100%",1,0.72,FedEx (service not itemized) $0.72,Billed above label cost $0.72
KAF8511DWOOD2PK,Americanflat  Kids Artwork Picture Frame in Driftwood- Displays 8.5x11 With Mat and 10x12.5 Without Mat -  2 Pack,1,0.72,UPS Ground Saver $0.72,Carrier re-rate after label $0.72
LX1418GLD57,Americanflat 14x18 Picture Frame with Polished Plexiglass - Use as 5x7 Frame with Mat or Display 14x18 Photo Without Mat - Streamline Collection,1,0.72,FedEx (service not itemized) $0.72,Billed above label cost $0.72
VF0406SLV,Heirloom Unmatted Picture Frame - 4x6 / Silver / Vintage frame,2,0.71,FedEx (service not itemized) $0.71,Billed above label cost $0.71
355375174753370117,Americanflat 12x28 Collage Picture Frame - Fits Two 8x10 Photos or One 12x18 Picture,1,0.71,UPS Ground Saver $0.71,Carrier re-rate after label $0.71
MP-MDF-WMW-0810-WHITE-57,Americanflat 8x10 Wide Molding Picture Frame - White,1,0.71,UPS Ground Saver $0.71,Carrier re-rate after label $0.71
WMW1010BLK88,Hudson Picture Frame - 10x10 / Black / 8x8,3,0.7,FedEx (service not itemized) $0.70,Billed above label cost $0.70
OVF0810GLD57,Heirloom Picture Frame - 8x10 / Gold / Ornate vintage frame,2,0.7,FedEx (service not itemized) $0.70,Billed above label cost $0.70
MP-SB-1114-PBRASS,Americanflat Shadow Box Frame Gold 11x14 inches - 1.5 Deep Box Frame with Glass Front,1,0.69,UPS Ground Saver $0.69,Carrier re-rate after label $0.69
A4OAK,"Americanflat A4 Picture Frame, Oak",1,0.69,UPS Ground Saver $0.69,Carrier re-rate after label $0.69
MP-WOVEN-SHOW-7171-BLUE,Americanflat 71x71 Woven Linen Blue Shower Curtain with Tassel Accents - Includes 12 Grommets and Hooks - 100% Polyester,1,0.69,UPS Ground Saver $0.69,Carrier re-rate after label $0.69
KAF8511BK4PK,Americanflat Kids Art Frame with Mat | Set of 4 | Holds up to 100 Artworks - Black,4,0.68,FedEx (service not itemized) $0.68,Billed above label cost $0.68
MP-PVC-LX-1215-BLACK,Americanflat 12x15 Poster Frame - Perfect for Photos and Artwork - Black,2,0.68,UPS Ground Saver $0.37; FedEx (service not itemized) $0.30,Carrier re-rate after label $0.37; Billed above label cost $0.30
MW1111PBRASS,Signature Matted Picture Frame - 11x11 / Gold / 1-Pack,1,0.67,FedEx (service not itemized) $0.67,Billed above label cost $0.67
298584717682704558,"Americanflat Snap-In Picture Frame in Black - Set of 3 - Poster Frame with Slimline Molding, Plexiglass Cover, and Hanging Hardware - Black",2,0.67,FedEx (service not itemized) $0.67,Billed above label cost $0.67
A281P886SHOW7174,Americanflat 71x74 Geometric Shower Curtain - Water-Resistant Long Shower Curtain with Durable Metal Grommets and 12 Hooks - 100% Polyester - Sage,2,0.67,FedEx (service not itemized) $0.67,Billed above label cost $0.67
VF1114WHTGLD810,Americanflat Vintage Frames - 11x14 Picture Frame with Beaded Accents and Shatter-Resistant Glass - Use as 8x10 Frame or Display 11x14 Photos Without,2,0.66,FedEx (service not itemized) $0.66,Billed above label cost $0.66
LX0808BLK,Streamline Matted Picture Frame - 8x8 with 6x6 Mat / Black / 1 Pack,1,0.65,UPS Ground Saver $0.65,Carrier re-rate after label $0.65
SB0808BK,Americanflat Shadow Box Frame in Black with Soft Linen Back MDF and Shatter Resistant Glass for Wall and Tabletop - 8 x 8,1,0.65,UPS Ground Saver $0.65,Carrier re-rate after label $0.65
ODFMAHGLD1114-DBLKGLD,Americanflat 11x14 Diploma Frame - Use as 8.5x11 Certificate Frame or Display 11x14 Photo Without Mat - Legacy Collection - Mahogany & Gold Vintage,1,0.65,FedEx (service not itemized) $0.65,Billed above label cost $0.65
HPF1622BLK,Black | Concealment Picture Frame | Magnetic Hinged Storage – Americanflat - 16x22 / Black,1,0.65,FedEx (service not itemized) $0.65,Billed above label cost $0.65
PS1216WH5PK,Set of 5 - Classic Gallery Picture Frame with Mat | Galleria Collection - 12 x 16 / White,1,0.65,FedEx (service not itemized) $0.65,Billed above label cost $0.65
PFF0810GLD57,Veranda Picture Frame | Americanflat | Fillet Accent | Acrylic Glazing | With Mat - 8x10 / Gold / 5x7,2,0.64,FedEx (service not itemized) $0.64,Billed above label cost $0.64
343081422288175123,Americanflat Picture Frame Set with Mat - Set of 5 - Photo Frame Set of Five for Wall Display - Plexiglass Cover - Hanging Hardware,1,0.64,FedEx (service not itemized) $0.64,Billed above label cost $0.64
OVF0406BLK,Heirloom Unmatted Picture Frame - 4x6 / Black / Ornate Vintage frame,1,0.64,FedEx (service not itemized) $0.64,Billed above label cost $0.64
VF0406BLKGLD,Heirloom Unmatted Picture Frame - 4x6 / Black/Gold / Vintage frame,1,0.64,FedEx (service not itemized) $0.64,Billed above label cost $0.64
VF0507BLK,Heirloom Unmatted Picture Frame - 5x7 / Black / Vintage frame,1,0.64,FedEx (service not itemized) $0.64,Billed above label cost $0.64
VF0810BLKGLD57,Heirloom Picture Frame - 8x10 / Black/Gold / Vintage frame,1,0.64,FedEx (service not itemized) $0.64,Billed above label cost $0.64
WMW0507WHT46,Hudson Picture Frame - 5x7 / White / 4x6,1,0.63,USPS Ground Advantage $0.63,Carrier re-rate after label $0.63
ALU0810GLD0507,Brooklyn Portrait Picture Frame - 8x10 / Gold,1,0.63,USPS Ground Advantage $0.63,Carrier re-rate after label $0.63
WMW1620WHT1114,Americanflat 16x20 Picture Frame with Polished Plexiglass - Use as 11x14 Frame with Mat or Display 16x20 Photo Without Mat - Hudson Collection - Wide,1,0.63,FedEx (service not itemized) $0.63,Billed above label cost $0.63
SIFF1114BLK,Floating Picture Frame | Slide-In Design | Shatter-Resistant Glass Front - 11x14 / Black,3,0.62,FedEx (service not itemized) $0.62,Billed above label cost $0.62
WESL18,Adjustable Wall Easel | Black | Modern - Premium Quality - 18 Inch,2,0.62,FedEx (service not itemized) $0.62,Billed above label cost $0.62
PS0808BLK552PK,Galleria Matted Picture Frame - 8x8 with 5x5 mat / Black / 2 Pack,1,0.62,FedEx (service not itemized) $0.62,Billed above label cost $0.62
CANFF1114BLK,Canvas Floating Frame Without Mat - 11x14 / Black,1,0.62,FedEx (service not itemized) $0.62,Billed above label cost $0.62
A393P032SHOW7174,Americanflat 71x74 Boho Shower Curtain - Water-Resistant Long Shower Curtain with Durable Metal Grommets and 12 Hooks - 100% Polyester - Burnt,2,0.62,FedEx (service not itemized) $0.62,Billed above label cost $0.62
OCFHGBV0406GLD,"Americanflat Hinged 4x6 Picture Frame with Wide, Beveled Molding and Shatter-Resistant Glass - Modern Frame Two 4x6 Photos - Gold",2,0.62,FedEx (service not itemized) $0.62,Billed above label cost $0.62
A281P141SHOW7174,"Americanflat 71x74 Boho Shower Curtain - Water-Resistant Long Shower Curtain with Durable Metal Grommets and 12 Hooks - 100% Polyester - Turquoise,",2,0.62,FedEx (service not itemized) $0.62,Billed above label cost $0.62
OCFBAM0406SLV,Americanflat 4x6 Metal Picture Frame With Bamboo-Style Molding - Silver Bamboo Frame with Shatter-Resistant Glass - Elegant Gallery Style Frames,2,0.62,FedEx (service not itemized) $0.62,Billed above label cost $0.62
OCFBEA0406SLV,Americanflat 4x6 Metal Picture Frame With Beaded-Style Detailing - Beaded Metal Picture Frame With Shatter-Resistant Glass - Elegant Gallery Style,2,0.61,FedEx (service not itemized) $0.61,Billed above label cost $0.61
A281P1707SHOW7174,"Americanflat 71x74 Botanical Shower Curtain - Water-Resistant Long Shower Curtain with Durable Metal Grommets and 12 Hooks - 100% Polyester - Ivory,",2,0.61,FedEx (service not itemized) $0.61,Billed above label cost $0.61
LX1826BLK1422,Picture Frame | Includes Mat | Slim Molding | Streamline Collection - 18x26 with 14x22 Mat / Black / 1 Pack,1,0.61,FedEx (service not itemized) $0.61,Billed above label cost $0.61
A281P129SHOW7174AZ,"Shower Curtain 71x74, Water-Resistant, Hooks - Americanflat - 71x74 / Teal Abstract",1,0.61,FedEx (service not itemized) $0.61,Billed above label cost $0.61
LX0406GLD,Streamline Picture Frame - 4x6 / Gold / 1 Pack,2,0.61,FedEx (service not itemized) $0.61,Billed above label cost $0.61
LEDGE_WH14_3PK,Floating Shelves Set of 3 - White / 14,1,0.6,FedEx (service not itemized) $0.60,Billed above label cost $0.60
MW0810WHTNOMAT,Picture Frame | Classic Molding | Signature Collection - Americanflat - White / 8x10,3,0.6,FedEx (service not itemized) $0.60,Billed above label cost $0.60
MPBROUFXF5060GRY,"Faux Fur Throw Blanket - 50x60 Inch Luxury Rouched Design - Soft Plush Blanket for Couch, Sofa, and Bed - Premium Warm Cozy Home Decor - Grey",2,0.6,FedEx (service not itemized) $0.60,Billed above label cost $0.60
A405P233SHOW7174,"Americanflat 71x74 Boho Shower Curtain - Water-Resistant Long Shower Curtain with Durable Metal Grommets and 12 Hooks - 100% Polyester - Terracotta,",1,0.6,FedEx (service not itemized) $0.60,Billed above label cost $0.60
WMW1215BLK912,Hudson Picture Frame - 12x15 / Black / 9x12,2,0.59,FedEx (service not itemized) $0.59,Billed above label cost $0.59
549065642600267800,Americanflat Vintage Frames - Picture Frame with Beaded Accents - Use with Included Mat - Distressed Finish,2,0.58,FedEx (service not itemized) $0.58,Billed above label cost $0.58
SB8511BK,Shadow Box Frame | Shatter-Resistant Glass | Deep Display Box - Americanflat - 8.5x11 / Black,1,0.58,UPS Ground Saver $0.58,Carrier re-rate after label $0.58
LX2430BLK1319,Streamline Matted Picture Frame - 24x30 with 13x19 Mat / Black / 1 Pack,1,0.57,FedEx (service not itemized) $0.57,Billed above label cost $0.57
VF1319GLD1218,13x19 with 12x18 Mat | Vintage Frames | Gold | Modern - Premium Quality,1,0.57,FedEx (service not itemized) $0.57,Billed above label cost $0.57
MP-PS-1216-WHITE-8511-5PK,Americanflat 12x16 frame with mat 5 Pack of Picture Frames - Gallery Wall Frame Set 16x12 picture frame,2,0.56,FedEx (service not itemized) $0.56,Billed above label cost $0.56
MW0608BLK35,Americanflat 6x8 Picture Frame - Use as 3x5 Frame with Mat or Display 6x8 Photo Without Mat - Signature Collection - Picture Frames Black,2,0.55,UPS Ground Saver $0.55,Carrier re-rate after label $0.55
DF08104PKMOD57,Collage Picture Frame | Set of 4 | Shatter-Resistant | With Mat | Multi-Wood Finish - Americanflat - 8x10 / Modern Farmhouse,1,0.55,FedEx (service not itemized) $0.55,Billed above label cost $0.55
WMW2028NAOAK1624,"Americanflat 20x28 Picture Frame with Polished Plexiglass, Use as 16x24 Frame with Mat or 20x28 Frame Without Mat, Hudson Collection, Natural Oak",1,0.55,FedEx (service not itemized) $0.55,Billed above label cost $0.55
LX11514WHT8511,Americanflat 11.5x14 Diploma Frame with Shatter-Resistant Glass - Use as 8.5x11 Frame with Mat or Display 11.5x14 Document Without Mat - Legacy,2,0.55,FedEx (service not itemized) $0.55,Billed above label cost $0.55
WB1424BLK,Epic Poster Frame - 14x24 / Black,1,0.54,FedEx (service not itemized) $0.54,Billed above label cost $0.54
SHOW7174WVBLUOMBRE,Americanflat 71x74 Wave Blue Ombre Shower Curtain - Water-Resistant Long Shower Curtain with Durable Metal Grommets and 10 Hooks - 100% Polyester,2,0.54,FedEx (service not itemized) $0.54,Billed above label cost $0.54
A281P662SHOW7174,"Americanflat 71 x 74 Shower Curtain, Synthesis Ii by PI Creative Art",1,0.54,UPS Ground Saver $0.54,Carrier re-rate after label $0.54
MP-MDF-WBDIST-0810-DRED,"Americanflat 8x10 Picture Frame in Red - Rustic Picture Frame with Textured Engineered Wood, Shatter Resistant Glass and Easel Back",1,0.54,UPS Ground Saver $0.54,Carrier re-rate after label $0.54
MP-MDF-WMW-1218-WHITE-1117,Americanflat 12x18 Wide Molding Picture Frame - White,1,0.54,UPS Ground Saver $0.54,Carrier re-rate after label $0.54
MPLXG2424BLK11143SET,Black | Gallery Wall Frames Set of 3 | Matching Size | Wide Mat – Americanflat - 24x24 matted to 11x14 / Black,1,0.54,FedEx (service not itemized) $0.54,Billed above label cost $0.54
257803095485366277,Americanflat Picture Frame Set with Mat - Set of 5 - Photo Frame Set of Five for Wall Display - Plexiglass Cover - Hanging Hardware,1,0.54,FedEx (service not itemized) $0.54,Billed above label cost $0.54
549051482093092870,"Americanflat Now Playing Vinyl Record Stand - Clear Acrylic Now Playing Sign Holds Up to 19 Records - 7.8x7.5""",1,0.54,FedEx (service not itemized) $0.54,Billed above label cost $0.54
SBBBYTK1216WHT34,Americanflat 12x16 Baby Shower Guest Book with 80 Heart Tokens - Fits 3x4 Baby Sonogram - Token Shadow Box - Inlcudes Pink and Blue Mats - Ideal,1,0.54,FedEx (service not itemized) $0.54,Billed above label cost $0.54
343124438380904534,Americanflat Poster Frame - Perfect Frame for Photos and Artwork - Large Picture Frame - Polished Plexiglass - Hanging Hardware with Horizontal and Vertical Display,1,0.54,FedEx (service not itemized) $0.54,Billed above label cost $0.54
257803095485366281,Americanflat Picture Frame Set with Mat - Set of 5 - Photo Frame Set of Five for Wall Display - Plexiglass Cover - Hanging Hardware,1,0.54,FedEx (service not itemized) $0.54,Billed above label cost $0.54
WB2126BLK,Gallery Poster Frame without Mat | Epic Collection - 21x26 / Black,1,0.54,FedEx (service not itemized) $0.54,Billed above label cost $0.54
KAFSLD8511WHT,Americanflat 8.5x11 Kids Art Storage Picture Frame - Home Gallery Wall Decor for Photos and Art Signature Collection Professional Quality - White,3,0.53,FedEx (service not itemized) $0.53,Billed above label cost $0.53
LX2230BLKNOMAT,Picture Frame | Slim Molding | Streamline Collection - 22x30 / Black,2,0.53,FedEx (service not itemized) $0.41; UPS Ground Saver $0.12,Billed above label cost $0.41; Carrier re-rate after label $0.12
KAF8511LP,Americanflat Kids Art Frame | Holds 100 Photos | Modern - Premium Quality - Lilac / 1 pack,2,0.52,FedEx (service not itemized) $0.52,Billed above label cost $0.52
LX0507WHTNOMAT,Streamline Picture Frame - 5x7 / White / 1 Pack,1,0.52,FedEx (service not itemized) $0.52,Billed above label cost $0.52
MP-PVC-LX-1218-BLACK,Americanflat 12x18 Poster Frame - Perfect for Photos and Artwork - Black,1,0.51,UPS Ground Saver $0.51,Carrier re-rate after label $0.51
MW1117DWOOD,Signature Unmatted Picture Frame - Driftwood / 11x17 / 1 Pack,1,0.5,UPS Ground Saver $0.50,Carrier re-rate after label $0.50
MP-PVC-LX-0912-BLACK-68,"Americanflat 9x12 Picture Frame with Mat for 6x8 - Modern Design, Shatter-Resistant Glass, PVC Frame - Black",1,0.5,UPS Ground Saver $0.50,Carrier re-rate after label $0.50
WMW1010NAOAK88,Hudson Picture Frame - 10x10 / Natural Oak / 8x8,1,0.5,UPS Ground Saver $0.50,Carrier re-rate after label $0.50
MW1114DWOOD57,Signature Matted Picture Frame - 11x14 with 5x7 mat / Driftwood / 1 Pack,1,0.5,UPS Ground Saver $0.50,Carrier re-rate after label $0.50
GSD1218BLK1117,Soho Matted Picture Frame - 12x18 / Black / 11x17,1,0.5,UPS Ground Saver $0.50,Carrier re-rate after label $0.50
SHOW7174SGRYOMBRE,Americanflat 71x74 Grey Ombre Shower Curtain - 100% Polyester Curtain - Water-Resistant with Metal Grommets and 12 Rings - Gradient Shower Curtains,1,0.5,UPS Ground Saver $0.50,Carrier re-rate after label $0.50
280387087038234632,"Americanflat Shadow Box Frame - 1.5 Interior Depth for Memorabilia - Display Case for Showcasing Souvenirs, Awards, and Medals - Shatter Resistant Glass - Hanging Hardware",1,0.49,FedEx (service not itemized) $0.49,Billed above label cost $0.49
MP-PES-SHOW-A413P077-7275-SL,"Americanflat 72x75 Hookless Shower Curtain - Abstract Orange Green Shower Curtain with Sheer Panel, Snap-In Liner, and Grommets - 100% Polyester",2,0.49,UPS Ground Saver $0.49,Carrier re-rate after label $0.49
SHOW7275BLUWAFSL,"Americanflat 72x75 Hookless Waffle Pattern Shower Curtain - Water-Resistant Long Shower Curtain with Sheer Panel, Snap-In Liner, and Durable Grommets",2,0.49,FedEx (service not itemized) $0.49,Billed above label cost $0.49
MP-PES-SHOW-A281P369-7174-Sepia,"Americanflat Where the Passion Flower Grows by PI Creative Art Floral Shower Curtain, 71x74",1,0.48,FedEx (service not itemized) $0.48,Billed above label cost $0.48
A238P008SHOW7174,"Americanflat 71 x 74 Shower Curtain, Leaf It Alone by Christine Olmstead",1,0.48,FedEx (service not itemized) $0.48,Billed above label cost $0.48
MW8511PNICKEL2PK,Americanflat 8.5x11 Diploma Frame in Silver with Shatter Resistant Glass - Horizontal and Vertical Formats for Wall and Tabletop (2 Pack),1,0.48,UPS Ground Saver $0.48,Carrier re-rate after label $0.48
355375174753370119,Americanflat 12x28 Collage Picture Frame - Fits Two 8x10 Photos or One 12x18 Picture,1,0.48,UPS Ground Saver $0.48,Carrier re-rate after label $0.48
A303P135SHOW7174,Americanflat 71x74 Coastal Shower Curtain - Ocean View by Modern Tropical,1,0.48,FedEx (service not itemized) $0.48,Billed above label cost $0.48
WMW0808WHT55,Hudson Picture Frame - 8x8 / White / 5x5,1,0.47,FedEx (service not itemized) $0.47,Billed above label cost $0.47
340169670841073781,Americanflat Gallery Wall Picture Frames - Set of 12 - Picture Frame Set for Wall Collage - Plexiglass Cover - Hanging Hardware - Includes Easel,1,0.47,FedEx (service not itemized) $0.47,Billed above label cost $0.47
340169670841073785,Americanflat Gallery Wall Picture Frames - Set of 12 - Picture Frame Set for Wall Collage - Plexiglass Cover - Hanging Hardware - Includes Easel,1,0.47,FedEx (service not itemized) $0.47,Billed above label cost $0.47
MP-MDF-WBDIST-0507-DBLUE,Americanflat Rustic Picture Frame - Unique Farmhouse Look - 5x7 - Turquoise Blue,1,0.47,USPS Ground Advantage $0.47,Carrier re-rate after label $0.47
MP-MDF-GSK-0810-BLACK-6PK,Americanflat 8x10 Picture Frame Set to Enhance Wall Decor - Black - 6 Pack,1,0.47,FedEx (service not itemized) $0.47,Billed above label cost $0.47
547949900291080258,Americanflat Vintage Frames - Picture Frame with Beaded Accents - Antique Frames for Tabletop and Wall Display - Ornate Frame,2,0.46,FedEx (service not itemized) $0.46,Billed above label cost $0.46
MW0405BLKNOMAT,Picture Frame | Classic Molding | Signature Collection - Americanflat - Black / 4x5,2,0.46,UPS Ground Saver $0.42; FedEx (service not itemized) $0.04,Carrier re-rate after label $0.42; Billed above label cost $0.04
LX810BLKNOMAT2PK,Streamline Picture Frame - 8x10 / Black / 2 Pack,1,0.45,FedEx (service not itemized) $0.45,Billed above label cost $0.45
MAGMINI4SET,2x3 | Magnetic Refrigerator Frame | Set of 4 | Black | Modern - Premium Quality,1,0.45,FedEx (service not itemized) $0.45,Billed above label cost $0.45
A281P273SHOW7174AZ,"Americanflat 71x74 Marble Shower Curtain - Durable Metal Grommets and 12 Hooks - 100% Polyester - Turquoise, Light Blue, Navy Blue, White and Gold",2,0.45,FedEx (service not itemized) $0.45,Billed above label cost $0.45
KAFTT8511WHT,My Mini Masterpiece 8.5x11 Tabletop Picture Frame - 8.5x11 / White,1,0.44,FedEx (service not itemized) $0.44,Billed above label cost $0.44
WB1322BLK,Epic Poster Frame - 13x22 / Black,1,0.44,FedEx (service not itemized) $0.44,Billed above label cost $0.44
LX1824WHTNOMAT,Streamline Picture Frame - 18x24 / White / 1 Pack,1,0.44,FedEx (service not itemized) $0.44,Billed above label cost $0.44
MWWH10PACK,Americanflat Picture Frame in White MDF / Shatter Resistant Glass Horizontal and Vertical Formats for Wall - Pack of 10,3,0.43,FedEx (service not itemized) $0.43,Billed above label cost $0.43
MPPESSHOW7174WGYOMB,Americanflat 71x74 Wave Grey Ombre Shower Curtain - Water-Resistant Long Shower Curtain with Durable Metal Grommets and 10 Hooks - 100% Polyester,1,0.43,FedEx (service not itemized) $0.43,Billed above label cost $0.43
MW8514BK2PK,Picture Frame | Composite Wood | Shatter-Resistant Glass | Wall Display Multi pack - 8.5x14 / Black / 2 Pack,1,0.43,FedEx (service not itemized) $0.43,Billed above label cost $0.43
LX0911BLKNOMAT,Picture Frame | Slim Molding | Streamline Collection - 9x11,1,0.43,FedEx (service not itemized) $0.43,Billed above label cost $0.43
473718820252811266,Americanflat Silver Metal Picture Frame with Beaded-Style Detailing - Beaded Picture Frame with Shatter-Resistant Glass - Elegant Gallery Style Frames for Tabletop or Wall Display,1,0.42,UPS Ground Saver $0.42,Carrier re-rate after label $0.42
KAF8511BB,Americanflat Kids Art Frame | Holds 100 Photos | Modern - Premium Quality - Baby Blue / 1 pack,2,0.42,FedEx (service not itemized) $0.42,Billed above label cost $0.42
MP-SB-1620-BLACK,Americanflat Shadow Box Frame Black 16x20 inches - 1.5 Deep Box Frame with Plexiglass Front,1,0.41,UPS Ground Saver $0.41,Carrier re-rate after label $0.41
CFF0912BLK246,Signature Float Matted Collage Frame - Black / 9x12,1,0.4,FedEx (service not itemized) $0.40,Billed above label cost $0.40
BROUFXF5060BRW,Throw Blanket | Ruched Faux Fur - 50x60 - Brown,1,0.4,FedEx (service not itemized) $0.40,Billed above label cost $0.40
MP-MDF-STF-1114-BLACK,Americanflat Quick-Change 11x14 Photo Storage Display Frame Black,1,0.4,FedEx (service not itemized) $0.40,Billed above label cost $0.40
WB1416BLK,Epic Poster Frame - 14x16 / Black,1,0.39,FedEx (service not itemized) $0.39,Billed above label cost $0.39
SIFBLK20243PK,Fusion Picture Frame - 20x24 / Black / 3 Pack,1,0.37,FedEx (service not itemized) $0.37,Billed above label cost $0.37
MW1122PBRASS,Signature Unmatted Picture Frame - Polished Brass / 11x22 / 1 Pack,1,0.37,FedEx (service not itemized) $0.37,Billed above label cost $0.37
